SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,FirstDuty-第一责任人,Fund-基金,Year-年,Volume-卷,Period-期,PageCount-页码,CLC-中图分类号,ISSN-国际标准刊号,URL-网址,DOI-DOI
期刊,JavaEE课程教学改革探索,丁勇;朱长水;吴许俊;,南京理工大学泰州科技学院计算机科学与工程学院;,科技与创新,Java;;JavaEE;;框架;;教学改革,JavaEE是计算机科学与技术专业的一门重要专业课程，课程主要介绍Java后端开发技术以及My Batis、Spring等Web应用框架的使用。简述了JavaEE课程教学的现状，从教学内容、方法、评价3个层面对课程教学改革进行了探讨。,2022-06-05,丁勇;,江苏高校品牌建设工程二期项目;; 江苏省高等教育教改研究立项课题（编号：2019JSJG567）;; 泰州市第五期“311工程”培养对象科研资助项目（编号：RCPY201924）资助,2022,,11,19-21,TP312.2-4;G642,2095-6835,,10.15913/j.cnki.kjycx.2022.11.006
期刊,工程教育专业认证背景下面向对象程序设计课程改革与实践,孙宁;曲海成;,辽宁工程技术大学软件学院;,大学教育,能力培养;;教学改革;;形成性评价;;课程目标达成度分析,在工程教育专业认证背景下，文章以OBE教育理念为指引，对面向对象程序设计课程进行改革与实践，根据毕业要求对课程内容及培养目标进行重构，优化课程内容、完善课程大纲、改革教学方法，突出“以学生为中心”，侧重“能力培养”，构建“形成性评价”方法。文章以辽宁工程技术大学软件工程专业为例，阐述该课程的建设过程，为相关院校的工程教育专业认证提供思路。,2022-06-01,孙宁;,2018年度辽宁省普通高等教育本科教学改革研究项目“基于协同育人的软件工程人才工程实践能力提升研究与实践”（辽教函[2018]471号）,2022,,06,56-59,G642.3;TP311.1-4,2095-3437,,
期刊,基于编程思维培养的C语言教学改革,邸未冬;冯丽萍;张静;,忻州师范学院计算机系;,高师理科学刊,C语言;;编程思维;;算法设计;;教学研究,C语言作为计算机专业编程语言的首门课程，对学生编程思维的培养尤为重要．目前C语言教学普遍存在的问题是学生程序设计能力弱，形不成编程思维．针对这一问题，从教学设计、教学手段、考核方式等方面，探讨了面向编程思维能力培养的C语言教学改革模式．改革后的实践表明，学生在期末考试、计算机等级考试等方面的成绩都有所提升，程序设计能力明显加强．,2022-05-30,邸未冬;,忻州师范学院教学改革创新研究项目（JGYB202020）,2022,42,05,80-83,TP312.1-4;G642,1007-9831,,
期刊,程序设计类课程“三阶段”教学改革研究——以湖北民族大学为例,王晓芳;向军;谭明佳;,湖北民族大学信息工程学院;,河南教育(高等教育),程序设计;;竞赛;;教学改革,本研究基于民族高校理工科专业学生程序设计类课程实践动手能力较弱、学习效果差等实际情况，提出参照ACM竞赛方式教学和对程序设计类课程分三阶段教学改革的观点，以此改善学生编程代码规模不够、院校考核要求及方法不科学等问题，并通过实践取得了较好的教学效果，具有在同类高校推广的价值。,2022-05-20,王晓芳;,湖北省教学改革研究项目（编号：2018386）;; 国家自然科学基金（编号：61362012）,2022,,05,55-56,G642;TP311.1-4,1003-2223,,
期刊,中小学编程教师信息化教学能力现状及其对策——以教育欠发达地区为例,张继玉;吴兰岸;王卫璐;,南宁师范大学计算机与信息工程学院;,教育信息技术,编程教育;;信息化教学能力;;欠发达地区,文章研究以广西中小学信息技术应用创新与实践活动的创意编程项目为例，通过实地观察、访谈法收集数据，分析教育欠发达地区中小学编程教师的信息化教学能力现状。研究结果表明：该地区高水平中小学校编程教师基础知识扎实，但教师信息化应用与创新能力偏弱，大部分教师对信息化教学微能力理解不透彻，教学设计系统思维不足、学情分析和学业评价重视程度低、学业指导中学生主体性欠缺。针对问题研究提出了顶层设计、教师培训、提升教学能力系统性、经验交流等相应对策。,2022-05-20,张继玉;,,2022,,05,49-52,G633.67,1671-3176,,
期刊,以应用为导向的离散数学教学改革与实践,曾亮;,广东理工学院基础课教学研究部;,黑龙江科学,应用型高校;;离散数学;;教学改革,为了提高课程教学质量和培养学生的实践应用能力，以应用为导向，针对离散数学课程的教学现状，提出了一系列改革措施，主要包括合理设置教学内容，改变教学模式，提升实践应用能力，多种教学手段相结合，改革评价体系，增加实践能力考核，对提升应用型本科高校的离散数学教学质量具有一定的参考价值，能够使学生在有限的课时内掌握离散数学的基础知识，提高学生的程序设计能力和应用实践能力，进一步提高教学水平和人才培养质量，培养具有一定理论基础和熟练掌握计算机操作技能的应用型人才。,2022-04-29,曾亮;,教育部产学合作协同育人项目(201901104006);; 广东理工学院质量工程项目(JXGG2019038),2022,13,07,109-111,G642.0;O158-4,1674-8646,,
期刊,“高级语言程序设计C”课程教学模式改革探讨,高磊;,内蒙古工业大学信息工程学院;,无线互联科技,在线编程;;编程;;教学改革,随着内蒙古工业大学多个专业的工程教育认证的推进，“高级语言程序设计C”作为面向部分非计算机专业开设的计算机基础核心课程之一，在专业课程体系中起着重要的理论支撑作用。文章探讨“高级语言程序设计C”教学过程中存在的问题，利用在线编程平台和优慕课平台相结合的模式，以提升教学质量为目标，使线下理论课堂变得更加生动、灵活，使学生不再受编程环境的影响，能够轻松编写调试程序，使学习兴趣更加浓厚。,2022-04-25,高磊;,教学改革项目;项目名称：基于“在线编程”的C语言教学模式改革;项目编号：2020307,2022,19,08,156-157,TP312.1-4;G642,1672-6944,,
期刊,Steam理念下小学图形化编程教学模式的设计与应用,林银芳;,厦门市同安区莲花中心小学;,中小学电教(教学),视频教学理念;;小学图形化编程;;教学模式,"以Steam教育理念以及Scratch图形化编程软件的具体特点和概念作为切入点，结合小学图形化编程教学的实际模式展开针对性分析。在编程教学过程中，要求小学生能够具备较强的逻辑思维能力以及创新思维能力，同时,可以将计算机编程与当前的美育乃至其他学科教育融合起来。那么,在具体实践过程中，就必须做好前期的教学准备，创建启发性的教学体系，营造多元化的互动条件，同时落实好跨学科分析以及指导，这样才可开阔学生视野，培养学生自主学习意识，提高教学质量，使学生的思想得以加强，提升创新思维能力和综合实践能力。",2022-04-15,林银芳;,,2022,,04,73-75,G623.58,1671-7503,,
期刊,动态分组策略在大学生机器人教育中的应用,钟柏昌;黄水艳;,华南师范大学教育信息技术学院;,现代教育技术,机器人教育;;合作学习;;动态分组策略;;分组策略,机器人教育中静态分组存在角色固化和合作倦怠等问题，而动态分组能有效弥补静态分组的不足。文章采用问卷调查法、课堂观察法和访谈法三种研究方法，以机器人教育为场景构建了动态分组策略，并在广东省H大学开展了三个月的准实验研究以探究其应用效果。结果显示，动态分组后学生的学习态度和合作倾向中的包容性高于动态分组前的学生；然而，动态分组后学生的群体凝聚力中的群体互动对个人的吸引力低于动态分组前的学生；在合作融洽度以及工程设计与编程能力方面，实验前后则基本不存在显著差异。研究表明，动态分组在机器人教育中有助于培养学生的合作能力，值得进一步研究。,2022-03-15,钟柏昌;,2019年国家社科基金教育学一般课题“中小学机器人教育中的配对学习模式研究”（项目编号：BCA190088）的阶段性研究成果,2022,32,03,61-70,TP242-4;G642,1009-8097,,
期刊,教育机器人可以提升学生创造力吗?——基于48项实验与准实验研究的Meta分析,侯浩翔;张先义;王旦;,江南大学教育学院;无锡市教师发展学院;,华东师范大学学报(教育科学版),教育机器人;;创造力;;人工智能;;软件编程;;教学模式,培养创新型人才已经成为我国建设科技强国、突破“卡脖子”技术难题的基本路径。迎合智能时代的教育变革潮流，利用机器人技术提升学生创造力体现出更丰富的实践价值和时代意义。本研究采用Meta分析法对国内外48项实验研究、6057条样本量进行编码处理，研究得出：1）教育机器人对学生创造力的整体影响效应为0.576，达到中等以上的影响水平，其中对学生创新实践能力的促进作用最为明显，对创新人格品质的影响程度一般；2）从学段来看，教育机器人对初中、小学的学生创造力影响效果较为明显；3）学科方面，机器人课程对学生创造力影响效果最好；4）教学主题中，原型创造对学生创造力影响程度达到中等以上水平；5）教学方式选择方面，探究式教学更能激发学生的创造力；6）相比普通教室，实验室环境对于学生创造力发展更为乐观。结合实地调研，提出以下实践建议：推广实施人工智能相关课程，兼顾教学过程中学生的创新人格及思维培养；注重低学段学生创造力培养，大力提倡软件编程教学；建构适用于机器人教学的创客教育模式，完善相关学科教师的培训体系及激励机制；促进实验室硬件、软件环境设计，多方面筹措教育机器人经费投入。,2022-03-01,侯浩翔;,全国教育科学“十三五”规划国家一般项目“人工智能背景下教育的技术逻辑研究”（BAA190233）,2022,40,03,99-111,G434,1000-5560,,10.16382/j.cnki.1000-5560.2022.03.009
期刊,移动应用开发课程教学改革与实践,胡为;刘伟;徐宏宁;,湖南中医药大学信息科学与工程学院;,计算机时代,移动应用开发;;教学改革;;翻转课堂;;案例教学法,"""移动应用开发""是高等学校计算机类专业的核心专业课程之一,针对教学中存在的教材内容陈旧、考核方式单一、教学形式单一等问题,提出了翻转课堂教学法、案例教学法、演示教学法等教学改革措施,以提高学生学习的积极性、主动性和软件开发编程能力,激发其创新能力。",2022-01-13,胡为;,,2022,,01,117-120,TP311.56-4;G642,1006-8228,,10.16644/j.cnki.cn33-1094/tp.2022.01.032
期刊,“编”出智慧 “玩”出精彩,毕飞;,江苏省徐州市铜山区驿城实验小学;,基础教育论坛,语言程序设计;;Scratch编程;;学习能力;;创新意识,"Scratch是很多小学生接触的首款编程软件,简单易学、趣味浓厚、风格新颖。本文通过介绍Scratch教学实践并结合本程序自身特性,着力构筑学生编程能力。通过Scratch编程教育,激发了学生学习编程的兴趣,提高了教师的专业水平,摸索出一套优化Scratch教学的方法、模式;同时,也培养了学生的跨学科能力和不再沉迷游戏的自控力。",2022-01-10,毕飞;,,2022,,02,78-79,G623.58,1674-6023,,
辑刊,基于激发学生潜能考教结合之计算机基础教学改革探究与实践,夏耘;,上海理工大学光电学院;上海理工大学信息技术教研室;全国高等学校计算机基础教育研究会;上海市计算机基础教育协会;,招生考试研究,计算机等级考试;;信息素养;;创新能力;;培育模式;;教学改革,随着新一代信息技术及其应用的高速发展，具备数字时代所需要的信息素养和创新能力成为当今时代对各专业大学生的基本要求。目前，高校信息技术公共课程教学普遍存在学生学习兴趣不足，缺乏解决问题能力培养的系统性、渐进性等问题。能力的培养需要将信息技术知识、技能与学生自身天赋相结合，而运用天赋是一个持续的过程，这个过程是通过激发学生潜能实现的，在近30年的计算机基础教学实践中，逐步形成了将上海市高等学校计算机等级考试与教学相结合激发学生潜能，探究“教+考+竞赛+实训”的信息素养和创新能力培育模式。,2021-12-31,夏耘;,,2021,,04,10-18,TP3-4;G642.0,,,
期刊,应用型大学计算机类人才专业能力培养体系构建——东软TOPCARES教学方法实践,张永棠;周富肯;罗海波;,广东东软学院计算机学院;,广东技术师范大学学报,专业能力;;内涵建设;;计算机类专业;;教育理念,"实现高等教育内涵式发展,是党对本科专业建设的紧迫要求.聚焦信息社会对应用型大学计算机类人才的新要求,围绕东软独创的TOPCARES教学方法学,提出""深广新""的育人模式;明确计算机类人才应该具备的专业能力及其内涵,构建能力培养体系;通过夯实知识基础的专业核心系列课程,推行规定类实验与自主类实验相结合的双实验教学模式,实施""五个一""专业能力培养质量保障手段,着力培养学生的编程能力、系统能力、应用能力和创新能力.",2021-12-25,张永棠;,国家自然科学基金(61663029);; 广东省教育科学“十三五”规划研究项目(2020GXJK446),2021,42,06,73-77,TP3-4;G642,2096-7764,,10.13408/j.cnki.gjsxb.2021.06.015
期刊,编程驱动下的C语言程序设计教学探析,程海水;,江西开放大学;,山西广播电视大学学报,编程驱动;;课程;;教学改革,C语言程序设计课程的特点及教学过程中存在的问题，项目驱动教学法与任务驱动教学法均不适合C语言程序设计课程。提出更加适合计算机专业新生的编程驱动教学法，从重组知识体系、精选程序实例、融入思政元素、革新教材理念、引入思维导图、改进教学实训、线上线下融合、优化评价考核等，对课程进行教学改革。,2021-12-25,程海水;,江西省高等学校教学改革研究课题项目“基于编程驱动的《C语言程序设计》教学设计”(JXJG-20-100-5),2021,26,04,60-62,TP312.1-4;G642,1008-8350,,
期刊,课程设计项目驱动的“C语言程序设计”教学方法探索,佟强;蒋玉茹;赵淳;杨大利;,北京信息科技大学计算机学院;,教育教学论坛,程序设计;;工程教育;;能力培养;;教学改革,"针对工程教育专业认证对计算机类专业毕业生能力培养的要求,介绍""C语言程序设计""课程的特点,分析在目前教学过程中存在的问题,提出一种以课程设计项目为驱动的教学改革思路,通过对学生的实践能力、工程能力、学习能力、创新能力等多种能力进行提升培养,实现课程教学质量的提高。通过在实际教学中对""C语言程序设计""教学改革思路的实际应用,证明了该教学改革思路具有一定的有效性,基本实现了课程教学目标。",2021-12-22,佟强;,2020年度北京信息科技大学教改立项项目“基于OBE的程序设计基础课程教学改革”（2020JGYB22）;; 2019年度北京高等教育本科教学改革创新项目“面向工程教育专业认证的‘互联网+’一体化教学平台建设创新模式研究”,2021,,51,138-141,TP312.1-4;G642,1674-9324,,
期刊,基于计算思维能力培养的小学生C++编程课程实践,钱登强;,泰州市康和实验小学;,中小学电教(教学),计算思维;;编程课程;;生活化,"近年来,编程教育、计算思维、工程思维已经成为信息技术教育领域的热词,编程教育低龄化的趋势愈发明显。以""计算思维能力培养""为标志的新一轮编程教育改革正在全国兴起。笔者通过在小学阶段开展C++编程课程的实践,尝试将教学内容生活化,利用泰微课平台等多种实用有效的路径,在提高课堂教学效率,培养学生的计算思维能力,提升学生的核心素养等方面,做了一些探索与实践,取得了不错的效果。",2021-12-15,钱登强;,,2021,,12,27-28,G623.58,1671-7503,,
期刊,C语言程序设计课程教学改革探索与实践——以赤峰学院为例,孙晓玲;王金玲;,赤峰学院;,赤峰学院学报(自然科学版),C程序设计课程;;教学改革;;PTA+模式;;实验教学,"结合多年的教学实践,对C语言课程从教学内容、教学方法与手段、考核评价体系与考核方法等方面的改革举措进行了总结,分析了存在的问题和取得的成效;用实例介绍了使用PTA实验教学辅助平台进行实践教学改革的具体做法,分析和探讨了C语言课程实践教学中存在的问题和改革的方法及取得的成效。",2021-11-25,孙晓玲;,,2021,37,11,89-92,TP312.1-4;G642.0,1673-260X,,10.13398/j.cnki.issn1673-260x.2021.11.023
期刊,新工科背景下成果导向的Python编程教学改革,何志权;蓝旭佳;曹文明;,深圳大学;电子与信息工程学院;广东省多媒体信息服务工程技术中心;,电脑知识与技术,Python编程;;成果导向;;实践能力;;新工科建设;;教学改革;;项目交互式,"目前,Python语言在科学计算、人工智能、大数据处理挖掘方面应用广泛,越来越多的高校开设了Python语言课程。针对高校学生存在的实践能力缺失、教学效果不佳和科研基础薄弱等问题,根据新工科建设教育规范,结合Python编程特点和电子信息工程培养方案的要求,采用工程项目驱动的方法,提出了项目交互式混合教学的方法,使得学生在应用技术和专业技能方面得到充分锻炼,从而提高动手能力、问题分析能力和项目应用实施能力,进一步深化Python编程教学改革和提升课程教学质量的提高。",2021-11-15,何志权;,“面向深度学习的卓越AI人才培养体系探索与实践”（编号E-RGZN20201035）的支持,2021,17,32,191-193,TP312.1-4;G642,1009-3044,,10.14004/j.cnki.ckt.2021.3268
期刊,基于工程模式的《C#程序设计》课程教学改革探究,彭芳策;,兴义民族师范学院;,电脑知识与技术,C#程序设计;;教学改革;;实践能力;;企业需求;;工程实践,"《C#程序设计》是一门计算机类专业非常重要的课程,传统的教学模式已不能完全适应现在就业需求。文章结合课程实践要求高的特点及实际教学经验,通过调研IT企业的工作需求,从教学改革与实践方面探究提高课程教学质量。通过对教学理念,教学内容,教学方法进行改革,建立开放性实验,将实际项目引入课堂,对于教学改革及实践能力的提升具有非常好的利用价值,同时改进考核方式,对培养学生的实践能力,创新能力,沟通能力和团队协作能力有着巨大的帮助。",2021-11-05,彭芳策;,2020年贵州省高等学校教学内容和课程体系改革项目《基于企业工程模式的Web程序设计类课程教学改革的探索及实施》，（黔财教[2019]88号，JG202008）,2021,17,31,205-207,G642;TP312.1-4,1009-3044,,10.14004/j.cnki.ckt.2021.3160
期刊,以学生为中心理念的程序设计类课程教学改革探索,刘宪国;赵文文;,佛山科学技术学院;,中国高新科技,程序设计;;教学改革;;课程设计,"文章从程序设计类课程特点出发,突出强调学生参与度,针对概念抽象、学生学习积极性较弱、重理论轻实践3个问题,从教学内容、教学方法、考核方式3个方面实施《面向对象程序设计》课程教学改革。结果表明,通过实施课程改革,学生的程序设计能力,培养分析问题、解决问题能力,规范软件开发过程及文档撰写能力有明显提升。",2021-10-25,刘宪国;,佛山市自筹经费类科技计划项目（项目编号：1920001000529）,2021,,20,76-77,G642;TP311.1-4,2096-4137,,10.13535/j.cnki.10-1507/n.2021.20.23
中国会议,在学科教学中融入编程教育培养学生实践创新能力——以道德与法治学科为例,薛宝卫;,北京市朝阳区中国传媒大学附属小学;,融合信息技术·赋能课程教学创新——第六届中小学数字化教学研讨会论文案例集,编程;;学科教学;;实践创新能力,"创新实践创新能力不仅科研机构和企业需要,更需要从基础教育开始抓起,才能更好地培养出国家建设需要的创新型人才。在小学阶段进行编程教育既可以让学生掌握相应的编程知识,又以提高学生思维的逻辑性、条理性和全面性,为学生的全面发展奠定良好的基础。小学的编程教育除了在信息技术课上开展,还可在学科教学中融入,有利于应用编程知识解决问题,提升创新实践能力。笔者尝试在自己任教的道德与法治学科中融入编程教育,并梳理出在学科教学中融入编程教育培养学生创新能力的方法,有效促进了学生实践创新能力的提升。",2021-10-23,薛宝卫,人教数字教育研究院2020年重点课题《中小学信息化融入课堂教学的实践研究》阶段性成果，课题编号：RJA0120009,2021,,,4,G623.58;G623.15,,,10.26914/c.cnkihy.2021.063443
期刊,遥感科学与技术专业的程序设计课程设置与教学改革探讨,王彦芳;尚国琲;谢宝妮;,河北地质大学土地科学与空间规划学院;,绿色科技,遥感科学与技术;;程序设计;;课程设置;;教学改革,"程序设计可以培养学生的逻辑思维能力和解决专业领域复杂工程问题的能力。从遥感科学与技术专业的特点出发,结合不同高校该专业的程序设计相关课程的设置,讨论了相关的课程设置与教学改革。从课程设置、教学内容、教学方法和学生能力培养等方面进行了思考和探讨,并针对存在的问题,提出了改革方向:各高校在程序设计相关课程的设置上总体呈基础性-进阶性-专业性-扩展性递进式,具体实施中要在课程与专业的关系、课程之间的关系,在改革程序设计系列课程的教学方法等基础上,提升遥感科学与技术专业学生的整体程序设计能力。",2021-10-15,王彦芳;,河北省高校新工科研究与实践项目(编号：2017GJXGK024);; 河北地质大学教学改革研究项目(编号：2019J23),2021,23,19,217-220,P237-4;G642,1674-9944,,10.16663/j.cnki.lskj.2021.19.061
期刊,高校提高学生程序设计能力的策略探研,周晓琳;张占臣;尤枫;刘勇;彭冰;,北京化工大学信息科学与技术学院;北京化工大学附属中学;,成才之路,C语言;;程序设计能力;;课程体系;;学科竞赛;;计算机教学;;教学质量,"结合当前信息化发展及国家全民智能教育项目的开展,以北京化工大学及其附属中学程序设计类课程为参考,依托相关程序设计竞赛,分析高校程序设计类课程教学存在的问题。在此基础上,结合教学实践经验,从""注重理论与实践相结合,提高学生自学能力与合作能力""""将学科竞赛精神融入课堂,以赛促教""""优化课程体系,提高教学质量""""建设训练题库,加强习题练习""等方面深入探讨提高学生程序设计能力的方法,希望为程序设计类课程教学提供有意义的参考。",2021-10-05,周晓琳;,北京市教委高校支持中小学发展基金“化大附中在线编程实践平台设计与开发”（项目编号：GJ202001）研究成果,2021,,28,32-34,G642;TP311.1-4,1008-3561,,
